sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0,3.09731,1.20293,0.94656,0.00194,0,0.2076,0,0,0,0,2.35581,0,0,1.25926,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,2.46738,1.95992,2.44911,4.34827,2.18869,2.56182,4.29673,8.64012,23.98801,8.17162,5.12123,0.78724,0.45492,1.07875,4.92815,2.96301,23.88856,6.97739,4.62601,12.14296,3.03843,1.80426
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,0,1.18427,1.02993,4.62066,1.11508,5.83347,1.27316,0.15951,0,1.31021,0.544,0.04569,0.00153,8.62258,0.7122,2.357,0.21174,0,1.15069,0,0.70043,0.89847
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,0.22711,24.12468,8.05315,4.23104,21.46425,15.56841,4.55811,18.16474,8.79848,6.93599,0.02264,4.48282,5.96202,7.73155,10.56136,11.91938,12.19539,12.01306,4.57895,10.0611,22.92496,2.47645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,0.00495,0.00883,3.54177,1.40427,0.00291,0.00275,0,0.00788,0.00241,0.00211,0,0.00036,0,0,0,0,0,0.04708,0,0.02066,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,0.02422,2.08435,2.04857,3.48736,0.14794,0.90199,1.94399,3.28336,1.10658,0.80684,0,0.39331,0.16054,0.75255,1.51504,1.18824,0.66886,0.70075,0.42213,0.09067,0.14123,0.38809
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname,2.01235,0.22796,3.65333,1.88746,0.47617,0.40701,1.84455,0.48172,0.58712,0.27341,0.01914,1.71649,0.0138,0.02743,0.39371,0.28929,0.0935,0.013,0.00975,0.78676,0.39828,0.12511
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,1.4063,15.61831,21.94397,2.48893,14.57264,0.52323,5.82061,6.05088,21.70032,3.82178,0.35745,1.03758,9.83275,1.01848,0.4475,2.09588,1.59945,0.01855,2.46525,20.3373,1.85937,0.83103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,0.04177,5.10723,8.90117,2.06619,3.92726,2.37433,27.15446,3.99,3.69986,10.15997,7.32098,4.52113,3.04077,29.14718,4.91952,4.48536,4.14835,3.62607,2.8592,14.57189,6.39954,24.67532
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname,0,0,0,0,0,0,0.02045,0,0.27571,0,0,0.30838,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,0,0,0,0.01096,0.01284,0,0.64844,0,0,0.63294,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,0,5.16625,7.71804,9.04729,0.37847,0,0.51034,0.34583,1.28523,0.43395,0,2.40395,1.07192,2.94098,1.28899,0.94004,0.29494,0.77725,0.61476,0,0.72853,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0,0,0.11993,0.00625,0,0,0,0,0,0,0,0.18533,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera,0,0,0,0.68732,0,0.72284,0,0,0,0.58733,0.00925,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium,0,0,0,7.34406,0.00044,0,0,0,0,0,0,0,0,0.0047,1.21992,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.003,1.77525,1.95115,3.17337,0.19451,2.80233,0.14692,6.30229,1.86868,0.12925,0.9032,1.23935,1.92124,1.50078,3.2093,0.20212,4.88402,2.14516,6.08124,0.07318,0.85406,0.77128
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella,0,0.01792,0.00108,0.02629,0.00086,0,0.00085,0,0,0,0,0.00059,0,0.00186,0,0,0,0.00131,0,0,0,0.00068
