k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Proteobacteria,k__Viruses|p__Viruses_noname,Susciptability to SARS-CoV-2
65.76826,10.987,7.05229,4.26735,2.88856,3.19819,5.8336,Medium
68.47617,16.39775,14.99942,0,0,0.12666,0,Very High
48.36368,23.60323,25.15974,0.00127,0,2.87209,0,Very High
7.85984,0.25935,90.63036,0,0,0.70687,0,Medium
37.48757,22.64903,39.25768,0,0.14547,0.46024,0,Very High
20.75147,2.21447,3.08109,0,0,73.88025,0,Low
70.75945,1.25299,24.56865,0,0.03083,3.34762,0,Medium
36.23957,6.26108,49.08675,0,7.41627,0.99605,0.00028,High
21.03687,0.61843,76.40349,0,0,1.94005,0,High
61.95798,36.09984,1.67503,0.12637,0,0.14077,0,Very High
73.94178,19.58152,6.33746,0,0,0.13923,0,Very High
19.27315,3.08314,77.20093,0,0.03898,0.4038,0,Medium
58.0191,7.84206,26.06687,5.19013,0,2.86649,0,Very High
83.0213,6.11632,10.42015,0,0.08937,0.35285,0,Very High
58.20288,0.78354,40.31064,0,0,0.69994,0,Medium
51.85527,0.41556,42.98642,0,0,4.7284,0.01435,Medium
39.86786,0.42946,57.67581,0.312,1.25038,0.46263,0,Medium
82.58922,3.86298,13.28634,0,0,0.26146,0,Very High
63.86324,17.72246,5.646,11.14608,1.2057,0.41044,0,Very High
51.69662,17.09837,27.46783,3.11778,0,0.61941,0,Very High
54.33527,26.15964,18.60716,0,0,0.89206,0,Very High
40.25359,36.93635,22.35308,0,0,0.45697,0,Very High
69.46111,24.83423,5.47434,0,0,0.23031,0,Very High
57.69877,14.29078,25.72098,0,0.04457,2.23803,0,Very High
11.06611,0.57649,82.65868,0,0.09828,5.41905,0.18138,Medium
57.30841,11.31693,30.53059,0,0,0.84406,0,Very High
39.6137,3.9394,55.61188,0,0,0.82348,0.00724,Medium
62.53459,17.85567,19.08234,0,0.00447,0.52294,0,Very High
40.59251,0.66229,53.71359,0,0,4.97076,0.03489,Medium
40.14713,0.36165,55.79813,0,0,3.69309,0,Medium
59.78014,15.65277,24.36317,0,0.03578,0.16815,0,Very High
49.44037,0.84921,3.86015,0.18353,0,45.66674,0,Low
42.5204,0.39434,56.16413,0,0,0.91699,0,Medium
60.19629,0.43252,37.52008,0.7282,0,1.0929,0.03,Medium
74.15195,5.73202,11.67602,5.02558,2.91271,0.50151,0,Medium
29.21704,0.88905,66.36306,0,0.01104,3.5165,0.00331,Medium
90.14115,1.46395,4.15565,2.63875,0.07452,1.52245,0,Medium
56.26863,24.99553,15.53091,0,0,3.20493,0,Medium
56.67119,1.00478,27.46602,0.20478,0.01288,14.27183,0,Low
19.54415,60.70954,14.87836,4.83093,0,0.03704,0,Very High
66.86421,32.34919,0.13387,0.21672,0.31519,0.12081,0,Medium
26.32746,0.1009,49.3537,0,0,22.60481,0.01701,Medium
68.32508,11.106,17.51507,0,2.35326,0.70059,0,Very High
15.82997,0.00252,83.33375,0,0.03042,0.79177,0,Medium
66.60575,9.85767,20.3696,2.55011,0.40863,0.20823,0,Very High
19.08339,0.05331,79.82149,0,0,1.02952,0.01187,Medium
63.15124,25.50235,8.47972,2.31495,0,0.54879,0.00296,Very High
38.72579,0.03525,58.50689,0.58608,0,0.93171,1.20812,Medium
61.35059,0.11012,3.50166,0.48173,0,34.32857,0,Low
2.07933,0.13596,93.6185,0,0.00454,4.15896,0.00038,Medium
72.35864,16.98977,6.7103,3.09731,0.60606,0.23791,0,Medium
89.40678,9.17669,0.69715,0,0,0.71937,0,Medium
75.41609,0.84193,3.69763,0,19.84529,0.19905,0,Medium
21.05511,0.55222,76.86133,0,0.78107,0.75027,0,Medium
73.78002,16.6865,9.21561,0,0,0.31787,0,Very High
57.77937,3.13124,35.39632,0,0,3.58831,0.048,Medium
40.69815,1.98532,52.20848,0,0,2.87098,0.01373,Medium
5.1551,0.00033,94.83774,0,0,0.00684,0,Medium
35.73028,5.47171,56.99992,0,0,1.79808,0,Very High
55.9210526,0.6578947,36.622807,0,0,6.7982456,0,Medium
64.5761,2.07252,33.13617,0,0,0.1415,0.0737,Very High
63.39548,3.61202,10.0903,11.14726,9.79243,1.94569,0.00541,Medium
30.54451,10.00494,0.56908,0.50549,0,58.27701,0.04553,Low
47.97499,2.98218,33.37876,0,13.67979,1.97934,0,High
30.48177,15.83696,49.0054,0,0.02516,4.63189,0,Medium
36.98566,55.48644,6.49146,0.19617,0,0.59103,0.24925,Very High
66.34623,14.30365,18.79413,0,0.11801,0.43798,0,Very High
6.76495,0.02864,92.09215,0.00462,0.00204,1.1063,0,Medium
83.53237,1.47508,13.66815,0.38419,0.01211,0.92809,0,Medium
0,0,0,0,0,0,0,Medium
69.12243,5.54053,17.27609,1.34112,5.26503,1.4548,0,Very High
55.37931,0.19797,41.66184,0,0.0016,2.62655,0.00597,Medium
68.76249,11.84625,18.56356,0.65737,0,0.16448,0,Very High
29.60138,0.4187,55.14782,0,0,14.81984,0,Medium
63.56786,16.69622,18.3509,0.6249,0.08175,0.67838,0,Very High
51.36973,1.11062,41.92625,2.54114,2.24009,0.45837,0.3538,Medium
70.92168,6.09393,20.358,0,0,2.25588,0.00644,Medium
70.65014,0.69217,28.38104,0,0,0.25283,0.00599,Medium
59.56756,10.02621,24.87705,2.21809,2.37953,0.92342,0.00814,Very High
4.72801,1.12044,86.73406,0,5.86889,1.52054,0.02806,Medium
79.79752,8.61864,9.66043,0.78499,0.00612,1.1323,0,Very High
52.98428,19.58121,23.75891,3.21307,0.16898,0.29356,0,Very High
73.18791,11.37634,14.92336,0,0.25828,0.25412,0,Very High
29.0368,6.72529,35.97428,0,22.88969,2.63289,2.74106,High
64.90012,2.60129,15.54644,0,14.09741,2.84622,0,Medium
28.44606,58.21555,12.28457,0,0,1.05382,0,Very High
47.92939,0.31347,48.23584,0,0.41521,3.10609,0,Medium
38.79722,5.97818,52.80516,0,0,2.41944,0,High
58.17109,16.91897,15.49079,6.75991,2.12915,0.5301,0,Very High
26.88828,2.43768,68.14332,0.00525,0,0.93973,1.58574,Medium
64.06969,21.2348,12.81014,0,0,1.88484,0,Medium
60.72071,4.07192,3.79022,0,29.27258,2.14457,0,Medium
70.09195,4.64165,9.63936,7.80738,7.36521,0.45043,0,Very High
65.35351,2.57517,26.20039,1.90286,0.98719,2.83419,0.13668,Medium
18.92975,0.00222,80.89084,0.01807,0,0.14771,0.01142,Medium
40.98751,0.19771,50.02616,0,0,8.693,0.00164,Medium
17.04906,0.58821,77.78864,0,0,4.31613,0.13403,Medium
65.52952,8.10126,25.03783,0,1.23113,0.10027,0,Very High
14.59442,5.96585,75.14385,0,0,3.67917,0.03227,Medium
42.26304,5.3109,47.77751,0,3.23876,1.40978,0,Medium
63.95929,16.29602,18.00481,1.12028,0.46306,0.15654,0,Very High
55.96852,27.35781,16.47832,0,0,0.18932,0,Very High
70.84393,9.83099,1.33522,0,2.55211,0.24057,15.19393,Medium
54.28549,35.60069,9.85215,0,0,0.26166,0,Very High
69.07807,24.47596,1.72788,0.00265,0,4.65248,0,Low
74.50919,12.07537,13.15867,0.06004,0.02657,0.17016,0,Very High
6.24314,0.52765,92.83543,0,0.07346,0.26583,0.02687,Medium
45.74588,0.37218,45.15545,0,0.7931,7.93101,0,High
11.7144,0.28218,86.76681,0,0.00013,1.23599,0,High
27.68918,2.27995,55.81688,0.00271,1.6397,12.52002,0,Medium
38.21642,5.39944,55.60313,0,0,0.33893,0.44209,High
25.02477,0.60652,71.88536,0,1.02146,1.44995,0.01194,Medium
81.50958,14.88167,3.5821,0,0,0,0.02665,Very High
1.79937,0.22758,0.7904,0,0,3.05631,94.12503,Low
15.34069,0.15618,83.13144,0.02157,0.00906,0.24343,1.09763,Medium
30.68308,7.49192,2.13414,52.32082,0,3.03057,0,Low
47.31162,51.88997,0.78083,0,0,0.01759,0,Very High
25.92661,14.74484,55.33162,0,1.16044,2.71758,0.10774,Medium
48.33729,12.22894,34.14949,0,0.51168,4.71468,0.00104,Medium
37.29214,11.17054,50.67079,0,0.08728,0.76718,0.01206,Medium
54.18024,24.91664,9.6546,7.11452,3.47462,0.65237,0.007,Very High
10.95434,0.04233,85.7887,0,0,2.93813,0.2765,Medium
11.48538,0.07687,86.00267,0.05274,0.28382,2.09619,0.00097,Medium
40.07159,0.20518,58.40185,0,0,1.31565,0,Medium
73.43722,4.18192,21.52603,0,0.34354,0.51128,0,Very High
68.61782,5.82312,25.10743,0,0,0.45163,0,Very High
54.3904,2.35061,43.23556,0,0,0.02344,0,Very High
47.60084,11.46064,10.77325,7.69125,16.89242,5.33816,0.24344,Very High
15.25043,4.95905,77.74827,0,1.47465,0.56759,0,High
30.99445,0.53635,61.15768,0,7.11091,0.19553,0,High
70.08548,9.76336,11.04588,0,7.83647,1.26165,0,Medium
40.10718,0.53441,40.55968,0,0.4238,18.37493,0,High
46.90204,2.33594,18.16709,0.76181,0,31.81643,0,Medium
42.588,56.20278,1.1793,0,0,0.02992,0,Very High
53.27167,36.06654,10.46369,0,0,0.1981,0,Very High
59.28604,3.22377,35.53603,0,0.00136,1.9291,0.02281,Medium
48.24928,0.50635,37.31967,0.23217,0,13.51436,0.16403,Low
67.60645,7.33531,20.87624,1.38921,0.12794,2.64813,0.01243,Medium
37.94466,0.58962,60.1171,0,0,1.34862,0,High
24.6815,0.16757,65.54331,0,0,9.60762,0,Medium
29.39523,3.47811,51.79244,0,0,14.633,0.69519,Medium
34.47578,0.53348,59.42684,0,1.89329,3.65295,0.00973,Medium
57.44276,8.0325,19.26517,0,0,15.25957,0,Very High
71.13964,1.92844,24.15031,1.70326,0,1.07018,0.00193,Medium
72.3155,1.26583,11.01165,5.77752,8.73161,0.8535,0.04272,Medium
54.27629,3.87425,40.50957,0,0.396,0.94389,0,Medium
76.17431,16.96794,6.66122,0,0.12734,0.06919,0,Very High
62.20961,23.20416,12.96968,1.32286,0.19147,0.07562,0.017,Medium
46.08556,5.02401,45.1145,2.75036,0,1.02558,0,Very High
36.62207,21.52939,40.25463,0,0,1.58923,0.00468,Very High
29.38567,0.71344,62.85751,0,5.88159,1.15719,0.00254,Medium
49.03575,3.27916,46.10864,0,0.27405,0.87868,0.42372,Medium
3.92273,0.00437,94.14448,0,1.45529,0.47152,0,Medium
7.98426,0.71084,15.47424,0,0,75.81901,0,Medium
47.34278,4.99074,46.72927,0,0,0.93722,0,High
69.22725,2.80726,23.94217,1.88386,0.04884,1.80991,0.27798,Medium
4.41834,0.06554,91.48532,0,3.9272,0.10362,0,Medium
25.11266,5.0611,65.63486,0.00234,1.43877,2.20807,0.54221,Medium
10.30905,1.62337,85.33388,0,0,2.71874,0.01496,Medium
74.22966,13.4742,12.16951,0,0,0.11234,0.01429,Very High
69.22034,19.1791,10.94241,0.08249,0.47393,0.10173,0,Very High
45.79114,1.97754,49.16861,0,0,3.03693,0.02499,Medium
44.12855,0.85902,53.84043,0,0.01877,1.14867,0.00432,Medium
65.62695,27.56733,3.86068,0,2.68562,0.25943,0,Very High
62.56588,13.36057,19.81637,2.12657,1.67096,0.45966,0,Very High
63.08407,1.70424,34.90952,0,0,0.30216,0,Very High
